floor,unit,mae,rmse,r2
1,1,200.83854296651882,249.00836743037854,-1.4858872220841581
1,2,211.37613334143293,261.97627679313933,-1.0660222485418247
1,3,234.79602889716378,297.8436905922912,-0.5722693500210376
1,4,187.1126964277736,221.25607104716258,-2.1968999729139753
2,1,117.5388354227463,150.90126983000553,-0.3054132717003806
2,2,557.1597814372666,614.5750992098103,-4.030991193004741
2,3,280.3122479974975,351.70854460555927,-1.2067869665407907
2,4,115.63234258164071,135.2796995178428,-2.445379532111811
3,1,206.61015229024693,258.0843138947279,-1.203424146232253
3,2,328.7467737516636,398.72314878297357,-1.822541238869841
3,3,551.1874664731648,598.6285417463669,-5.1228543298238245
3,4,163.21802101349866,198.13695105496845,-1.6438056840564408
4,1,188.10801802723685,236.38952044444713,-0.8396748030993264
4,2,199.39416349349742,257.0978782717822,-0.4713630133900375
4,3,176.33025117203675,224.80507558698707,-0.965940223088892
4,4,207.3521598416925,249.92863802168543,-1.5698273770395672
5,1,201.26430008994134,257.82189345141165,-0.6354540933061523
5,2,435.7027875173054,517.7027505512085,-1.6604307173755855
5,3,212.3088545653024,280.1889418633072,-0.3393378149927695
5,4,403.32887210030134,443.28768120406556,-3.9173050244533743
